region,region_code,departement,arrondissement,ville_canton
Adamaoua,AD,Djerem,Ngaoundal,Beka Gotto
Adamaoua,AD,Djerem,Ngaoundal,Lamidat De Tibati
Adamaoua,AD,Djerem,Ngaoundal,Mbarnang
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal Viile
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal Ville
Adamaoua,AD,Djerem,Tibati,Lamidat De Tibati
Adamaoua,AD,Djerem,Tibati,Meidjamba
Adamaoua,AD,Djerem,Tibati,Tibati Ville
Adamaoua,AD,Faro Et Deo,Galim-tignere,Galim-tignere Ville
Adamaoua,AD,Faro Et Deo,Galim-tignere,Lamidat Galim-tignere
Adamaoua,AD,Faro Et Deo,Galim-tignere,Lamidat Lompta
Adamaoua,AD,Faro Et Deo,Kontcha,Kontcha Ville
Adamaoua,AD,Faro Et Deo,Kontcha,Lamidat Dow Deo
Adamaoua,AD,Faro Et Deo,Kontcha,Lamidat Kontcha
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Alme
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Gadjiwan
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Mayo Baleo
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Ville Mayo Baleo
Adamaoua,AD,Faro Et Deo,Tignere,Lamidat Tignere
Adamaoua,AD,Faro Et Deo,Tignere,Tignere Ville
Adamaoua,AD,Mayo-banyo,Bankim,Atta
Adamaoua,AD,Mayo-banyo,Bankim,Bakim Rural
Adamaoua,AD,Mayo-banyo,Bankim,Bakim Ville
Adamaoua,AD,Mayo-banyo,Bankim,Bandam
Adamaoua,AD,Mayo-banyo,Bankim,Bankim Rural
Adamaoua,AD,Mayo-banyo,Bankim,Canton De Atta
Adamaoua,AD,Mayo-banyo,Bankim,Canton De Nyamboya
Adamaoua,AD,Mayo-banyo,Bankim,Nyamboya
Adamaoua,AD,Mayo-banyo,Bankim,Somie
Adamaoua,AD,Mayo-banyo,Bankim,Songkolong
Adamaoua,AD,Mayo-banyo,Banyo,Lamidat De Banyo
Adamaoua,AD,Mayo-banyo,Banyo,Ville De Banyo
Adamaoua,AD,Mayo-banyo,Mayo-darley,Lamidat De Banyo
Adamaoua,AD,Mayo-banyo,Mayo-darley,Mayo-darle Ville
Adamaoua,AD,Mbere,Dir,Canton De Bagodo
Adamaoua,AD,Mbere,Dir,Canton De Dir
Adamaoua,AD,Mbere,Dir,Canton De Kalaldi
Adamaoua,AD,Mbere,Dir,Dir Ville
Adamaoua,AD,Mbere,Djohong,Djohong
Adamaoua,AD,Mbere,Djohong,Djohong Ville
Adamaoua,AD,Mbere,Djohong,Lamidat De Djohong
Adamaoua,AD,Mbere,Meiganga,Canton De Meiganga
Adamaoua,AD,Mbere,Meiganga,Lamidat De Lokoti
Adamaoua,AD,Mbere,Meiganga,Mboula
Adamaoua,AD,Mbere,Meiganga,Meiganga Ville
Adamaoua,AD,Mbere,Ngaoui,Lamidat De Djohong
Adamaoua,AD,Mbere,Ngaoui,Ngaoui_ville
Adamaoua,AD,Vina,Belel,Belel Ville
Adamaoua,AD,Vina,Belel,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Martap,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Martap,Martap Ville
Adamaoua,AD,Vina,Mbe,Lamidat De Mbe
Adamaoua,AD,Vina,Mbe,Mbe Ville
Adamaoua,AD,Vina,Nganha,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Nganha,Nganha Ville
Adamaoua,AD,Vina,Ngaoundere 1,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 1,Ngaoundere Ville
Adamaoua,AD,Vina,Ngaoundere 2,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 2,Ngaoudere 2 Ville
Adamaoua,AD,Vina,Ngaoundere 2,Ngaoundere Ville
Adamaoua,AD,Vina,Ngaoundere 3,Canton De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 3,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 3,Ngaoundere Ville
Adamaoua,AD,Vina,Nyambaka,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Nyambaka,Nyambaka Ville
Centre,CE,Haute-sanaga,Bibey,Bibey Rural
Centre,CE,Haute-sanaga,Bibey,Bibey Ville
Centre,CE,Haute-sanaga,Bibey,Metep
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe Yezoum Ville
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe-yezoum Rural
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe-yezoum Ville
Centre,CE,Haute-sanaga,Lembe-yezoum,Simbane
Centre,CE,Haute-sanaga,Lembe-yezoum,Zoa
Centre,CE,Haute-sanaga,Mbandjock,Mbandjock Ville
Centre,CE,Haute-sanaga,Mbandjock,Mekomba
Centre,CE,Haute-sanaga,Mbandjock,Ndjore
Centre,CE,Haute-sanaga,Mbandjock,Ndo
Centre,CE,Haute-sanaga,Minta,Groupement Villages Autonomes
Centre,CE,Haute-sanaga,Minta,Mbargue
Centre,CE,Haute-sanaga,Minta,Minta Rural
Centre,CE,Haute-sanaga,Minta,Minta Ville
Centre,CE,Haute-sanaga,Minta,Nguen
Centre,CE,Haute-sanaga,Minta,Wall
Centre,CE,Haute-sanaga,Nanga-eboko,Biboa
Centre,CE,Haute-sanaga,Nanga-eboko,Bissaga
Centre,CE,Haute-sanaga,Nanga-eboko,Dea
Centre,CE,Haute-sanaga,Nanga-eboko,Emtse
Centre,CE,Haute-sanaga,Nanga-eboko,Ka'a
Centre,CE,Haute-sanaga,Nanga-eboko,Meyosso
Centre,CE,Haute-sanaga,Nanga-eboko,Nanga Eboko Ville
Centre,CE,Haute-sanaga,Nanga-eboko,Ndjombe
Centre,CE,Haute-sanaga,Nanga-eboko,Nguinda
Centre,CE,Haute-sanaga,Nanga-eboko,Okassang I
Centre,CE,Haute-sanaga,Nanga-eboko,Ouassa-bamvele
Centre,CE,Haute-sanaga,Nanga-eboko,Zengoaga (zengba'a)
Centre,CE,Haute-sanaga,Nkoteng,Nkoteng Ville
Centre,CE,Haute-sanaga,Nkoteng,Ouassa-baboute
Centre,CE,Haute-sanaga,Nsem,Mekone 1
Centre,CE,Haute-sanaga,Nsem,Nsem Rural
Centre,CE,Haute-sanaga,Nsem,Nsem Ville
Centre,CE,Lekie,Batchenga,Batchenga-rural
Centre,CE,Lekie,Batchenga,Batchenga-ville
Centre,CE,Lekie,Batchenga,Benyada-sud
Centre,CE,Lekie,Ebebda,Abam
Centre,CE,Lekie,Ebebda,Abam -ngoe
Centre,CE,Lekie,Ebebda,Abam Ngoue
Centre,CE,Lekie,Ebebda,Abam- Ngoe
Centre,CE,Lekie,Ebebda,Abam-ngoe
Centre,CE,Lekie,Ebebda,Benyabega
Centre,CE,Lekie,Ebebda,Benyavega
Centre,CE,Lekie,Ebebda,Ebebda-ville
Centre,CE,Lekie,Ebebda,Nkol Kosse
Centre,CE,Lekie,Ebebda,Nkolkosse
Centre,CE,Lekie,Ebebda,Sa'a
Centre,CE,Lekie,Ebebda,Saa
Centre,CE,Lekie,Ebebda,Yengomba
Centre,CE,Lekie,Elig-mfomo,Elig-mfomo Ville
Centre,CE,Lekie,Elig-mfomo,Essele Rural
Centre,CE,Lekie,Elig-mfomo,Mvog Kani
Centre,CE,Lekie,Elig-mfomo,Mvog-kani
Centre,CE,Lekie,Evodoula,Evodoula Ville
Centre,CE,Lekie,Evodoula,Mvog-onamenye 2 Rural
Centre,CE,Lekie,Evodoula,Ntsas Endo
Centre,CE,Lekie,Lobo,Lobo Ville
Centre,CE,Lekie,Lobo,Mvog-nama 1 Rural
Centre,CE,Lekie,Monatele,Ekot Rural
Centre,CE,Lekie,Monatele,Eyeng Meyong
Centre,CE,Lekie,Monatele,Kougouda
Centre,CE,Lekie,Monatele,Monatele Ville
Centre,CE,Lekie,Monatele,Mvog-onamenye 1
Centre,CE,Lekie,Monatele,Mvog-onamenye 2
Centre,CE,Lekie,Monatele,Nkolkosse
Centre,CE,Lekie,Obala,Benyada Ville
Centre,CE,Lekie,Obala,Edinding
Centre,CE,Lekie,Obala,Efok
Centre,CE,Lekie,Obala,Loua
Centre,CE,Lekie,Obala,Mendoum
Centre,CE,Lekie,Obala,Nkol Edouma
Centre,CE,Lekie,Obala,Nkol-edouma
Centre,CE,Lekie,Obala,Nkolfeb
Centre,CE,Lekie,Obala,Nkolfep
Centre,CE,Lekie,Obala,Obala Rural
Centre,CE,Lekie,Obala,Obala Ville
Centre,CE,Lekie,Okola,Eton Beti
Centre,CE,Lekie,Okola,Mvog-nama 2
Centre,CE,Lekie,Okola,Mvog-namnye 2
Centre,CE,Lekie,Okola,Mvog-namnye 3
Centre,CE,Lekie,Okola,Okola Ville
Centre,CE,Lekie,Sa'a,Abamzib
Centre,CE,Lekie,Sa'a,Ebamzib
Centre,CE,Lekie,Sa'a,Ebombo
Centre,CE,Lekie,Sa'a,Engab
Centre,CE,Lekie,Sa'a,Engap
Centre,CE,Lekie,Sa'a,Kouna Odjolo
Centre,CE,Lekie,Sa'a,Lebamzig
Centre,CE,Lekie,Sa'a,Lebamzip
Centre,CE,Lekie,Sa'a,Nkokbogo
Centre,CE,Lekie,Sa'a,Nkol-mvak
Centre,CE,Lekie,Sa'a,Nkolbodo
Centre,CE,Lekie,Sa'a,Nkolbogo
Centre,CE,Lekie,Sa'a,Sa'a Rural
Centre,CE,Lekie,Sa'a,Sa'a Ville
Centre,CE,Mbam Et Inoubou,Bafia,Bafia Ville
Centre,CE,Mbam Et Inoubou,Bafia,Koro
Centre,CE,Mbam Et Inoubou,Bokito,Elip
Centre,CE,Mbam Et Inoubou,Bokito,Gounou Sud
Centre,CE,Mbam Et Inoubou,Bokito,Lemande
Centre,CE,Mbam Et Inoubou,Bokito,Mmala
Centre,CE,Mbam Et Inoubou,Bokito,Village Autonome
Centre,CE,Mbam Et Inoubou,Bokito,Yangben
Centre,CE,Mbam Et Inoubou,Deuk,Balom 1
Centre,CE,Mbam Et Inoubou,Deuk,Balom 2
Centre,CE,Mbam Et Inoubou,Deuk,Ville De Deuk
Centre,CE,Mbam Et Inoubou,Kiiki,Gouife
Centre,CE,Mbam Et Inoubou,Kiiki,Kiiki Ville
Centre,CE,Mbam Et Inoubou,Kiiki,Nkokoe
Centre,CE,Mbam Et Inoubou,Kon-yambeta,Bape
Centre,CE,Mbam Et Inoubou,Kon-yambeta,Kon Yambetta Ville
Centre,CE,Mbam Et Inoubou,Kon-yambeta,Yambetta Rural
Centre,CE,Mbam Et Inoubou,Makenene,Makenene Rural
Centre,CE,Mbam Et Inoubou,Makenene,Makenene Ville
Centre,CE,Mbam Et Inoubou,Ndikinimeki,Etoundou
Centre,CE,Mbam Et Inoubou,Ndikinimeki,Inoubou Nord
Centre,CE,Mbam Et Inoubou,Ndikinimeki,Inoubou Sud
Centre,CE,Mbam Et Inoubou,Ndikinimeki,Ndikinimeki Ville
Centre,CE,Mbam Et Inoubou,Ndikinimeki,Ndikoko
Centre,CE,Mbam Et Inoubou,Nitoukou,Nitoukou Rural
Centre,CE,Mbam Et Inoubou,Nitoukou,Nitoukou Ville
Centre,CE,Mbam Et Inoubou,Ombessa,Bouraka ( Village Autonome)
Centre,CE,Mbam Et Inoubou,Ombessa,Bouraka (village Autonome)
Centre,CE,Mbam Et Inoubou,Ombessa,Bouraka(village Autonome)
Centre,CE,Mbam Et Inoubou,Ombessa,Gounou Nord
Centre,CE,Mbam Et Inoubou,Ombessa,Ombessa
Centre,CE,Mbam Et Inoubou,Ombessa,Ville D'ombessa
Centre,CE,Mbam Et Kim,Mbangassina,Bondjo
Centre,CE,Mbam Et Kim,Mbangassina,Kombe
Centre,CE,Mbam Et Kim,Mbangassina,Mbangassina Ville
Centre,CE,Mbam Et Kim,Mbangassina,Tsinga
Centre,CE,Mbam Et Kim,Mbangassina,Village Autonome
Centre,CE,Mbam Et Kim,Ngambe-tikar,Ngambe-tikar Rural
Centre,CE,Mbam Et Kim,Ngambe-tikar,Ngambe-tikar Ville
Centre,CE,Mbam Et Kim,Ngoro,Ngoro Ville
Centre,CE,Mbam Et Kim,Ngoro,Sanaga Ndjantis Et Assimiles Rural
Centre,CE,Mbam Et Kim,Ntui,Batschenga
Centre,CE,Mbam Et Kim,Ntui,Baveuck
Centre,CE,Mbam Et Kim,Ntui,Beveuck
Centre,CE,Mbam Et Kim,Ntui,Mvele
Centre,CE,Mbam Et Kim,Ntui,Nguila
Centre,CE,Mbam Et Kim,Ntui,Ntui Ville
Centre,CE,Mbam Et Kim,Yoko,Linte
Centre,CE,Mbam Et Kim,Yoko,Yoko Ville
Centre,CE,Mefou Et Afamba,Afanloum,Afanloum Ville
Centre,CE,Mefou Et Afamba,Afanloum,Assamba
Centre,CE,Mefou Et Afamba,Assamba,Assamba Ville
Centre,CE,Mefou Et Afamba,Assamba,Edouma
Centre,CE,Mefou Et Afamba,Awae,Atamanga
Centre,CE,Mefou Et Afamba,Awae,Atemanga
Centre,CE,Mefou Et Afamba,Awae,Atemenga
Centre,CE,Mefou Et Afamba,Awae,Avamaga
Centre,CE,Mefou Et Afamba,Awae,Avamanga
Centre,CE,Mefou Et Afamba,Awae,Awae
Centre,CE,Mefou Et Afamba,Awae,Evamanga
Centre,CE,Mefou Et Afamba,Awae,Mikom
Centre,CE,Mefou Et Afamba,Awae,Minkom
Centre,CE,Mefou Et Afamba,Awae,Yemesonmo
Centre,CE,Mefou Et Afamba,Awae,Yemessomo
Centre,CE,Mefou Et Afamba,Edzendouan,Edzendouan Ville
Centre,CE,Mefou Et Afamba,Edzendouan,Yendobo
Centre,CE,Mefou Et Afamba,Esse,Bekoua
Centre,CE,Mefou Et Afamba,Esse,Esse Ville
Centre,CE,Mefou Et Afamba,Esse,Mvog Nana
Centre,CE,Mefou Et Afamba,Esse,Mvog Nana
Centre,CE,Mefou Et Afamba,Esse,Nvog Nana
Centre,CE,Mefou Et Afamba,Esse,Ville D'esse
Centre,CE,Mefou Et Afamba,Esse,Yelbarack
Centre,CE,Mefou Et Afamba,Esse,Yembarack
Centre,CE,Mefou Et Afamba,Esse,Yembarak
Centre,CE,Mefou Et Afamba,Esse,Yemberack
Centre,CE,Mefou Et Afamba,Esse,Yembouni
Centre,CE,Mefou Et Afamba,Esse,Yetoulou
Centre,CE,Mefou Et Afamba,Mfou,Bene
Centre,CE,Mefou Et Afamba,Mfou,Mfou Ville
Centre,CE,Mefou Et Afamba,Mfou,Mvog Amougou 1
Centre,CE,Mefou Et Afamba,Mfou,Mvog Amougou 2
Centre,CE,Mefou Et Afamba,Mfou,Mvog Amougou 3
Centre,CE,Mefou Et Afamba,Mfou,Mvog Nnomo
Centre,CE,Mefou Et Afamba,Mfou,Mvog Owondzouli
Centre,CE,Mefou Et Afamba,Mfou,Mvog Zambo
Centre,CE,Mefou Et Afamba,Mfou,Ndi Bene
Centre,CE,Mefou Et Afamba,Nkolofamba,Evondo
Centre,CE,Mefou Et Afamba,Nkolofamba,Mvog Manga 1
Centre,CE,Mefou Et Afamba,Nkolofamba,Mvog Manga 2
Centre,CE,Mefou Et Afamba,Nkolofamba,Nkolafamba Ville
Centre,CE,Mefou Et Afamba,Nkolofamba,Tsinga
Centre,CE,Mefou Et Afamba,Soa,Ebang
Centre,CE,Mefou Et Afamba,Soa,Mbende
Centre,CE,Mefou Et Afamba,Soa,Ngali
Centre,CE,Mefou Et Afamba,Soa,Ntouessong
Centre,CE,Mefou Et Afamba,Soa,Ntuouesson
Centre,CE,Mefou Et Afamba,Soa,Soa Ville
Centre,CE,Mefou Et Akono,Akono,Akono Ville
Centre,CE,Mefou Et Akono,Akono,Elega
Centre,CE,Mefou Et Akono,Akono,Fouda Balla
Centre,CE,Mefou Et Akono,Akono,Fouda Mballa
Centre,CE,Mefou Et Akono,Akono,Mfida
Centre,CE,Mefou Et Akono,Akono,Tsoungui Balla
Centre,CE,Mefou Et Akono,Akono,Tsoungui Mballa
Centre,CE,Mefou Et Akono,Bikok,Bikok Ville
Centre,CE,Mefou Et Akono,Bikok,Bikop
Centre,CE,Mefou Et Akono,Bikok,Evindissi
Centre,CE,Mefou Et Akono,Bikok,Meyila
Centre,CE,Mefou Et Akono,Bikok,Nyomo
Centre,CE,Mefou Et Akono,Bikok,Oman
Centre,CE,Mefou Et Akono,Mbankomo,Mbankomo Ville
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Fouda Mballa
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Tsoung Mballa 1
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Tsoung Mballa 2
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Tsoung Mballa 3
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Tsung Mballa
Centre,CE,Mefou Et Akono,Mbankomo,Mvog Tsung Mballa 1
Centre,CE,Mefou Et Akono,Mbankomo,Nama Ndobe
Centre,CE,Mefou Et Akono,Mbankomo,Nama Ndobo
Centre,CE,Mefou Et Akono,Mbankomo,Nama Nkodo
Centre,CE,Mefou Et Akono,Ngoumou,Etenga
Centre,CE,Mefou Et Akono,Ngoumou,Mvog Tsoungui Mballa
Centre,CE,Mefou Et Akono,Ngoumou,Ngoumou Ville
Centre,CE,Mefou Et Akono,Ngoumou,Nkong Abok
Centre,CE,Mefou Et Akono,Ngoumou,Nkong Meyos
Centre,CE,Mefou Et Akono,Ngoumou,Nkong-zok
Centre,CE,Mefou Et Akono,Ngoumou,Otele
Centre,CE,Mfoundi,Yaounde 1,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 2,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 3,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 4,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 5,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 6,Yaounde Ville
Centre,CE,Mfoundi,Yaounde 7,Yaounde Ville
Centre,CE,Nyong Et Kelle,Biyouha,Ndog Bessoul Rural
Centre,CE,Nyong Et Kelle,Biyouha,Ville De Biyouha
Centre,CE,Nyong Et Kelle,Bondjock,Bondjock Rural
Centre,CE,Nyong Et Kelle,Bondjock,Bondjock Ville
Centre,CE,Nyong Et Kelle,Bot-makak,Bot Makak Rural
Centre,CE,Nyong Et Kelle,Bot-makak,Bot Makak Ville
Centre,CE,Nyong Et Kelle,Bot-makak,Mbembe Et Loumbe
Centre,CE,Nyong Et Kelle,Bot-makak,Ndog Batjeck
Centre,CE,Nyong Et Kelle,Bot-makak,Ndog-batjeck
Centre,CE,Nyong Et Kelle,Dibang,Dibang Ville
Centre,CE,Nyong Et Kelle,Dibang,Ndog Njee
Centre,CE,Nyong Et Kelle,Dibang,Ndog Njee 2
Centre,CE,Nyong Et Kelle,Eseka,Eseka Ville
Centre,CE,Nyong Et Kelle,Eseka,Ndog Njee I
Centre,CE,Nyong Et Kelle,Eseka,Ndog Njee 1
Centre,CE,Nyong Et Kelle,Eseka,Ndog Njee I
Centre,CE,Nyong Et Kelle,Eseka,Ndog Njeei
Centre,CE,Nyong Et Kelle,Eseka,Ndog Tjock
Centre,CE,Nyong Et Kelle,Makak,Liyegue Est
Centre,CE,Nyong Et Kelle,Makak,Longue
Centre,CE,Nyong Et Kelle,Makak,Makak Ville
Centre,CE,Nyong Et Kelle,Makak,Ndog Bea Sud
Centre,CE,Nyong Et Kelle,Matomb,Matomb Ville
Centre,CE,Nyong Et Kelle,Matomb,Ndod Send
Centre,CE,Nyong Et Kelle,Matomb,Ndog Send
Centre,CE,Nyong Et Kelle,Messondo,Kelle Ndongond
Centre,CE,Nyong Et Kelle,Messondo,Mbengue
Centre,CE,Nyong Et Kelle,Messondo,Messondo Ville
Centre,CE,Nyong Et Kelle,Messondo,Ndog Bessol
Centre,CE,Nyong Et Kelle,Messondo,Yabi
Centre,CE,Nyong Et Kelle,Ngog-mapupi,Ngog Mapubi Ville
Centre,CE,Nyong Et Kelle,Ngog-mapupi,Pougue Djouel
Centre,CE,Nyong Et Kelle,Nguibassal,Mbembe Et Loumbe
Centre,CE,Nyong Et Kelle,Nguibassal,Ndog Batjeck
Centre,CE,Nyong Et Kelle,Nguibassal,Ndog Suga
Centre,CE,Nyong Et Kelle,Nguibassal,Nguibassal Ville
Centre,CE,Nyong Et Mfoumou,Akonolinga,Akonolinga Ville
Centre,CE,Nyong Et Mfoumou,Akonolinga,Akoua Mvog Nyengue
Centre,CE,Nyong Et Mfoumou,Akonolinga,Mgog Nyengue
Centre,CE,Nyong Et Mfoumou,Akonolinga,Mvog Nyengue
Centre,CE,Nyong Et Mfoumou,Akonolinga,Nvog Nyengue
Centre,CE,Nyong Et Mfoumou,Akonolinga,Sso Centre
Centre,CE,Nyong Et Mfoumou,Akonolinga,Sso Est
Centre,CE,Nyong Et Mfoumou,Akonolinga,Yebekolo Nord
Centre,CE,Nyong Et Mfoumou,Akonolinga,Yelinda
Centre,CE,Nyong Et Mfoumou,Akonolinga,Yembama
Centre,CE,Nyong Et Mfoumou,Akonolinga,Yengono
Centre,CE,Nyong Et Mfoumou,Ayos,Ayos Ville
Centre,CE,Nyong Et Mfoumou,Ayos,Omvang
Centre,CE,Nyong Et Mfoumou,Ayos,Yebekolo Est
Centre,CE,Nyong Et Mfoumou,Endom,Endom Ville
Centre,CE,Nyong Et Mfoumou,Endom,Essakom
Centre,CE,Nyong Et Mfoumou,Endom,Essankom
Centre,CE,Nyong Et Mfoumou,Endom,Maka Sud
Centre,CE,Nyong Et Mfoumou,Endom,Mbida-mbani
Centre,CE,Nyong Et Mfoumou,Mengang,Mengang Ville
Centre,CE,Nyong Et Mfoumou,Mengang,Yembama
Centre,CE,Nyong Et Mfoumou,Mengang,Yengono
Centre,CE,Nyong Et Mfoumou,Nyakokombo,Maka Nord
Centre,CE,Nyong Et Mfoumou,Nyakokombo,Nyakokombo Ville
Centre,CE,Nyong Et Mfoumou,Nyakokombo,Yebekolo Nord-est 1
Centre,CE,Nyong Et Mfoumou,Nyakokombo,Yebekolo Nord-est 2
Centre,CE,Nyong Et Mfoumou,Nyakokombo,Yebekolo-est
Centre,CE,Nyong Et So'o,Akoeman,Akoeman Ville
Centre,CE,Nyong Et So'o,Akoeman,Bane Sud 1
Centre,CE,Nyong Et So'o,Akoeman,Bane Sud 2
Centre,CE,Nyong Et So'o,Dzeng,Dzeng Ville
Centre,CE,Nyong Et So'o,Dzeng,Mbida Mbani Centre
Centre,CE,Nyong Et So'o,Dzeng,Mbida Mbani Nord
Centre,CE,Nyong Et So'o,Dzeng,Mbida Mbani Sud
Centre,CE,Nyong Et So'o,Mbalmayo,Bene Centre
Centre,CE,Nyong Et So'o,Mbalmayo,Bene Nord
Centre,CE,Nyong Et So'o,Mbalmayo,Mbalmayo Ville
Centre,CE,Nyong Et So'o,Mengueme,Bane Ouest
Centre,CE,Nyong Et So'o,Mengueme,Bane Sud
Centre,CE,Nyong Et So'o,Mengueme,Enoa Et Ngoa
Centre,CE,Nyong Et So'o,Mengueme,Enoa Et Ngoe
Centre,CE,Nyong Et So'o,Mengueme,Mengueme Ville
Centre,CE,Nyong Et So'o,Ngomedzap,Etoudi
Centre,CE,Nyong Et So'o,Ngomedzap,Mvog Atangana Mballa
Centre,CE,Nyong Et So'o,Ngomedzap,Mvog Essomba Ndana
Centre,CE,Nyong Et So'o,Ngomedzap,Mvog Fouda Mballa
Centre,CE,Nyong Et So'o,Ngomedzap,Ngomedzap Ville
Centre,CE,Nyong Et So'o,Ngomedzap,Village Autonome (tsinga)
Centre,CE,Nyong Et So'o,Nkolmetet,Bene Nord-est
Centre,CE,Nyong Et So'o,Nkolmetet,Bene Sud-est
Centre,CE,Nyong Et So'o,Nkolmetet,Ville De Nkolmetet
Est,ES,Boumba Et Ngoko,Gari-gombo,Gari Gombo Ville
Est,ES,Boumba Et Ngoko,Gari-gombo,Mbimou
Est,ES,Boumba Et Ngoko,Gari-gombo,Yanghere
Est,ES,Boumba Et Ngoko,Moloundou,Bangando
Est,ES,Boumba Et Ngoko,Moloundou,Djako
